Dates,SPX,VIX,C2800,C2900,C3000,C3100,C3200,P2800,P2900,P3000,P3100,P3200,LIBOR,SOFR,SPX_VOL30,SPX_VOL360
2018/4/2,2581.88,23.62,140,114,71.5,47,42,297,325.8,408.45,473.2,447,2.31175,1.8,20.21,10.77
2018/4/3,2614.45,21.1,140,114,77.5,47,42,297,325.8,408.45,473.2,447,2.32084,1.83,20.62,10.81
2018/4/4,2644.69,20.06,140,127,77.5,50,42,297,325.8,408.45,473.2,447,2.32461,1.74,20.93,10.85
2018/4/5,2662.84,18.94,140,127,77.5,50,43,297,325.8,408.45,473.2,447,2.33063,1.75,21.05,10.86
2018/4/6,2604.47,21.49,140,127,77.5,50,32,297,325.8,408.45,473.2,447,2.33746,1.75,21.37,11.03
2018/4/9,2613.16,21.77,160.35,127,80,50,39,297,325.8,408.45,473.2,447,2.3373,1.75,21.02,11.01
2018/4/10,2656.87,20.47,175,127,80,63.88,39,285.7,325.8,408.45,473.2,447,2.33903,1.75,21.48,11.08
2018/4/11,2642.19,20.24,175,127,80,63.88,39,285.7,325.8,408.45,473.2,447,2.34163,1.76,21.3,11.08
2018/4/12,2663.99,18.49,178.83,133.32,96,65,42.4,285.7,325.8,408.45,473.2,447,2.34769,1.73,21.1,11.1
2018/4/13,2656.3,17.41,174.1,133.32,88.5,65,42.4,274.95,325.8,408.45,473.2,447,2.35281,1.72,21.05,10.96
2018/4/16,2677.84,16.56,174.1,133.32,88.5,65,42.4,274.95,325.8,408.45,473.2,447,2.35509,1.77,20.93,10.97
2018/4/17,2706.39,15.25,188.9,137.5,97.8,65,40,243,325.8,408.45,473.2,447,2.35539,1.76,21.17,10.97
2018/4/18,2708.64,15.6,188.9,137.5,100,65,40,243,325.8,408.45,473.2,447,2.35866,1.75,21.18,10.97
2018/4/19,2693.13,15.96,188.9,137.5,87.3,65,36.1,249,325.8,408.45,473.2,447,2.36156,1.73,21.19,10.98
2018/4/20,2670.14,16.88,188.9,137.5,87.3,65,36.1,249,325.8,408.45,473.2,447,2.35923,1.72,20.57,11.01
2018/4/23,2670.29,16.34,165,137.5,83.08,65,32.05,255.5,325.8,408.45,473.2,447,2.35954,1.7,20.58,10.99
2018/4/24,2634.56,18.02,154.54,137.5,83.08,42,31.8,255.5,325.8,408.45,473.2,447,2.36167,1.71,20.84,11.05
2018/4/25,2639.4,17.84,150.5,137.5,83.08,43.61,31.8,286.87,325.8,408.45,473.2,447,2.36561,1.71,20.83,11.05
2018/4/26,2666.94,16.24,150.5,114.5,75,43.61,28.94,286.87,325.8,408.45,473.2,447,2.35878,1.72,21.13,11.08
2018/4/27,2669.91,15.41,159.94,114.5,76.65,43.61,28.8,253.68,325.8,408.45,473.2,447,2.35805,1.72,21.12,11.06
2018/4/30,2648.05,15.93,159.94,114.5,76.65,43.61,29,264.9,325.8,408.45,473.2,447,2.36294,1.77,20.84,11.09
2018/5/1,2654.8,15.49,159.94,114.5,76.65,42.8,24.5,264.9,325.8,408.45,473.2,447,2.35375,1.76,20.86,11.09
2018/5/2,2635.67,15.97,159.94,101.46,76.65,42.8,24.5,264.9,325.8,408.45,455.75,447,2.36294,1.75,20.94,11.1
2018/5/3,2629.73,15.9,159.94,101.46,76.65,38,24.5,289.82,325.8,408.45,455.75,447,2.36313,1.74,19.53,11.1
2018/5/4,2663.42,14.77,134.36,101.46,68,38,26,289.82,325.8,408.45,455.75,447,2.36906,1.72,18.76,11.14
2018/5/7,2672.63,14.75,134.36,110.28,68,46.7,28.51,289.82,297.72,408.45,455.75,447,2.36906,1.71,17,11.14
2018/5/8,2671.92,14.71,151,110.28,68,46.7,28.51,289.82,297.72,408.45,455.75,447,2.3525,1.72,16.1,11.14
2018/5/9,2697.79,13.42,167.02,119.03,75,51.6,28.15,289.82,297.72,408.45,405.7,447,2.35575,1.72,16.27,11.17
2018/5/10,2723.07,13.23,178.58,130,89,59.6,35.78,289.82,297.72,408.45,389.14,447,2.355,1.73,16.02,11.18
2018/5/11,2727.72,12.65,178.58,130,90,59.6,35.78,289.82,297.72,408.45,389.14,447,2.3425,1.73,14.24,11.18
2018/5/14,2730.13,12.93,181.17,130,90,59.6,33.9,289.82,297.72,408.45,389.14,447,2.33,1.75,13.85,11.13
2018/5/15,2711.45,14.63,181.17,130,81.9,59.6,33.9,289.82,297.72,408.45,389.14,447,2.32063,1.79,13.71,11.15
2018/5/16,2722.46,13.42,181.17,129.81,87.23,53.5,32.9,289.82,297.72,408.45,389.14,447,2.32563,1.75,13.62,11.14
2018/5/17,2720.13,13.43,181.17,127.51,87.23,53.5,32.9,289.82,297.72,408.45,389.14,447,2.33125,1.74,11.64,11.14
2018/5/18,2712.97,13.42,173.95,123,83.3,52.5,32.9,222.05,297.72,408.45,389.14,447,2.32938,1.73,11.69,11.13
2018/5/21,2733.01,13.08,180.75,123,83.3,52.5,32.9,222.05,297.72,408.45,389.14,447,2.33,1.69,10.87,11.12
2018/5/22,2724.44,13.22,184.2,123,83.3,52.5,32.9,211.39,297.72,408.45,389.14,447,2.33,1.65,10.76,11.12
2018/5/23,2733.29,12.58,175.08,124.99,83.3,52.25,32.3,211.39,297.72,408.45,389.14,447,2.33,1.67,10.55,11.12
2018/5/24,2727.76,12.53,175.08,124.99,86,52.25,32.3,218.4,297.72,408.45,389.14,447,2.31938,1.74,10.53,11.12
2018/5/25,2721.33,13.22,175.08,123.4,86,52.25,32.3,218.4,297.72,408.45,389.14,447,2.31813,1.73,10.33,11.12
2018/5/28,2721.33,13.22,175.08,123.4,86,52.25,32.3,218.4,297.72,408.45,389.14,447,2.31813,1.73,10.33,11.12
2018/5/29,2689.86,17.02,165.78,119,79.5,52.25,32.3,218.4,297.72,408.45,389.14,447,2.30719,1.72,10.47,11.17
